A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,scenario,policy,model
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,6,7,9,6,6,4,3,2,1,9,3,10,6,6,5,8,scenario 4 option 34,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,4,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,2,6,7,7,5,10,10,1,1,1,5,0,3,4,3,0,scenario 4 option 35,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,4,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,2,6,7,7,5,10,10,1,1,1,5,0,3,4,3,1,scenario 4 option 35,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,4,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,2,6,7,7,5,10,10,1,1,1,5,0,3,4,3,2,scenario 4 option 35,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,4,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,2,6,7,7,5,10,10,1,1,1,5,0,3,4,3,3,scenario 4 option 35,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,4,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,2,6,7,7,5,10,10,1,1,1,5,0,3,4,3,4,scenario 4 option 35,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,4,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,2,6,7,7,5,10,10,1,1,1,5,0,3,4,3,5,scenario 4 option 35,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,4,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,2,6,7,7,5,10,10,1,1,1,5,0,3,4,3,6,scenario 4 option 35,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,4,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,2,6,7,7,5,10,10,1,1,1,5,0,3,4,3,7,scenario 4 option 35,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,4,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,2,6,7,7,5,10,10,1,1,1,5,0,3,4,3,8,scenario 4 option 35,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,2,2,0,4,8,6,2,0,5,1,10,2,8,1,6,0,scenario 4 option 36,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,2,2,0,4,8,6,2,0,5,1,10,2,8,1,6,1,scenario 4 option 36,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,2,2,0,4,8,6,2,0,5,1,10,2,8,1,6,2,scenario 4 option 36,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,2,2,0,4,8,6,2,0,5,1,10,2,8,1,6,3,scenario 4 option 36,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,2,2,0,4,8,6,2,0,5,1,10,2,8,1,6,4,scenario 4 option 36,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,2,2,0,4,8,6,2,0,5,1,10,2,8,1,6,5,scenario 4 option 36,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,2,2,0,4,8,6,2,0,5,1,10,2,8,1,6,6,scenario 4 option 36,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,2,2,0,4,8,6,2,0,5,1,10,2,8,1,6,7,scenario 4 option 36,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,2,2,0,4,8,6,2,0,5,1,10,2,8,1,6,8,scenario 4 option 36,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,2,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,4,5,7,6,2,8,10,4,0,1,4,0,9,7,6,0,scenario 4 option 37,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,2,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,4,5,7,6,2,8,10,4,0,1,4,0,9,7,6,1,scenario 4 option 37,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,2,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,4,5,7,6,2,8,10,4,0,1,4,0,9,7,6,2,scenario 4 option 37,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,2,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,4,5,7,6,2,8,10,4,0,1,4,0,9,7,6,3,scenario 4 option 37,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,2,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,4,5,7,6,2,8,10,4,0,1,4,0,9,7,6,4,scenario 4 option 37,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,2,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,4,5,7,6,2,8,10,4,0,1,4,0,9,7,6,5,scenario 4 option 37,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,2,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,4,5,7,6,2,8,10,4,0,1,4,0,9,7,6,6,scenario 4 option 37,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,2,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,4,5,7,6,2,8,10,4,0,1,4,0,9,7,6,7,scenario 4 option 37,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,2,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,4,5,7,6,2,8,10,4,0,1,4,0,9,7,6,8,scenario 4 option 37,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,4,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,8,1,4,10,9,4,10,0,1,0,10,4,3,5,0,scenario 4 option 38,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,4,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,8,1,4,10,9,4,10,0,1,0,10,4,3,5,1,scenario 4 option 38,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,4,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,8,1,4,10,9,4,10,0,1,0,10,4,3,5,2,scenario 4 option 38,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,4,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,8,1,4,10,9,4,10,0,1,0,10,4,3,5,3,scenario 4 option 38,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,4,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,8,1,4,10,9,4,10,0,1,0,10,4,3,5,4,scenario 4 option 38,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,4,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,8,1,4,10,9,4,10,0,1,0,10,4,3,5,5,scenario 4 option 38,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,4,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,8,1,4,10,9,4,10,0,1,0,10,4,3,5,6,scenario 4 option 38,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,4,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,8,1,4,10,9,4,10,0,1,0,10,4,3,5,7,scenario 4 option 38,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,4,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,8,1,4,10,9,4,10,0,1,0,10,4,3,5,8,scenario 4 option 38,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,2,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,7,9,6,1,2,1,1,5,4,9,5,8,9,8,9,0,scenario 4 option 39,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,2,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,7,9,6,1,2,1,1,5,4,9,5,8,9,8,9,1,scenario 4 option 39,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,2,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,7,9,6,1,2,1,1,5,4,9,5,8,9,8,9,2,scenario 4 option 39,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,2,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,7,9,6,1,2,1,1,5,4,9,5,8,9,8,9,3,scenario 4 option 39,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,2,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,7,9,6,1,2,1,1,5,4,9,5,8,9,8,9,4,scenario 4 option 39,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,2,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,7,9,6,1,2,1,1,5,4,9,5,8,9,8,9,5,scenario 4 option 39,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,2,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,7,9,6,1,2,1,1,5,4,9,5,8,9,8,9,6,scenario 4 option 39,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,2,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,7,9,6,1,2,1,1,5,4,9,5,8,9,8,9,7,scenario 4 option 39,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,2,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,7,9,6,1,2,1,1,5,4,9,5,8,9,8,9,8,scenario 4 option 39,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,10,7,0,5,8,5,7,4,8,2,6,8,10,3,0,scenario 4 option 40,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,10,7,0,5,8,5,7,4,8,2,6,8,10,3,1,scenario 4 option 40,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,10,7,0,5,8,5,7,4,8,2,6,8,10,3,2,scenario 4 option 40,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,10,7,0,5,8,5,7,4,8,2,6,8,10,3,3,scenario 4 option 40,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,10,7,0,5,8,5,7,4,8,2,6,8,10,3,4,scenario 4 option 40,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,10,7,0,5,8,5,7,4,8,2,6,8,10,3,5,scenario 4 option 40,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,10,7,0,5,8,5,7,4,8,2,6,8,10,3,6,scenario 4 option 40,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,10,7,0,5,8,5,7,4,8,2,6,8,10,3,7,scenario 4 option 40,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,10,7,0,5,8,5,7,4,8,2,6,8,10,3,8,scenario 4 option 40,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5,5,4,2,4,7,6,0,3,6,7,0,2,10,0,scenario 4 option 41,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5,5,4,2,4,7,6,0,3,6,7,0,2,10,1,scenario 4 option 41,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5,5,4,2,4,7,6,0,3,6,7,0,2,10,2,scenario 4 option 41,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5,5,4,2,4,7,6,0,3,6,7,0,2,10,3,scenario 4 option 41,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5,5,4,2,4,7,6,0,3,6,7,0,2,10,4,scenario 4 option 41,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5,5,4,2,4,7,6,0,3,6,7,0,2,10,5,scenario 4 option 41,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5,5,4,2,4,7,6,0,3,6,7,0,2,10,6,scenario 4 option 41,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5,5,4,2,4,7,6,0,3,6,7,0,2,10,7,scenario 4 option 41,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5,5,4,2,4,7,6,0,3,6,7,0,2,10,8,scenario 4 option 41,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,3,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,4,9,7,6,4,0,1,5,6,1,8,7,2,5,0,scenario 4 option 42,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,3,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,4,9,7,6,4,0,1,5,6,1,8,7,2,5,1,scenario 4 option 42,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,3,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,4,9,7,6,4,0,1,5,6,1,8,7,2,5,2,scenario 4 option 42,dikesnet
